state,year,county,pt_wgwto,pt_wswto,pt_wtotl,pt_cutot,po_wgwto,po_wswto,po_wtotl,po_cutot,pc_wgwto,pc_wswto,pc_wtotl,pc_cutot
CA,2010,Imperial County,0,22.5,22.5,1.53,0,0,0,0,0,22.5,22.5,1.78
CA,2005,Imperial County,0,0.6,0.6,1.53,0,0,0,0,0,0.6,0.6,1.78
CA,2000,Imperial County,0.77,5.41,5.41,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
CA,1995,Imperial County,0,0.17,0.17,0.15,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1990,Imperial County,0.77,0.73,0.73,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1985,Imperial County,0.77,0.52,4.9,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,2015,Inyo County,5.68,0,5.68,4.06,0,0,0,0,5.68,0,5.68,4.06
CA,2010,Inyo County,9.48,0,9.48,1.53,0,0,0,0,9.48,0,9.48,1.78
CA,2005,Inyo County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
CA,2000,Inyo County,0.77,0,0,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
CA,1995,Inyo County,0,0,0,0,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1990,Inyo County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1985,Inyo County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,2015,Kern County,1.03,0,1.03,7.71,0,0,0,0,1.03,0,1.03,7.71
CA,2010,Kern County,6.99,3.29,10.28,1.53,0,0,0,0,6.99,3.29,10.28,1.78
CA,2005,Kern County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
CA,2000,Kern County,0.77,0,0,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
CA,1995,Kern County,0,0,0,0,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1990,Kern County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1985,Kern County,0.77,0,0.02,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,2015,Kings County,0,0,0,0,0,0,0,0,0,0,0,0
CA,2010,Kings County,0.38,0,0.38,1.53,0,0,0,0,0.38,0,0.38,1.78
CA,2005,Kings County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
CA,2000,Kings County,0.77,0,0,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
CA,1995,Kings County,0,0,0,0,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1990,Kings County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1985,Kings County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,2015,Lake County,4.2,0,4.2,2.99,0,0,0,0,4.2,0,4.2,2.99
CA,2010,Lake County,6.99,0,6.99,1.53,0,0,0,0,6.99,0,6.99,1.78
CA,2005,Lake County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
CA,2000,Lake County,0.77,0,0,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
CA,1995,Lake County,6.5,0,6.5,5.01,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1990,Lake County,0.77,0,6.84,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1985,Lake County,0.77,0,11.52,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,2015,Lassen County,0.38,0,0.38,0.27,0,0,0,0,0.38,0,0.38,0.27
CA,2010,Lassen County,0.79,0,0.79,1.53,0,0,0,0,0.79,0,0.79,1.78
CA,2005,Lassen County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
CA,2000,Lassen County,0.77,0,0,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
CA,1995,Lassen County,0,0,0,0,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
